,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
168273,R251,R144,00-03-01,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,3956949,590477
168310,R251,R144,00-03-02,96 ST,6,IRT,06/27/2020,05:00:00,REGULAR,645964787,268312
168311,R251,R144,00-03-02,96 ST,6,IRT,06/27/2020,09:00:00,REGULAR,645964871,268389
168312,R251,R144,00-03-02,96 ST,6,IRT,06/27/2020,13:00:00,REGULAR,645964982,268445
168313,R251,R144,00-03-02,96 ST,6,IRT,06/27/2020,17:00:00,REGULAR,645965188,268504
168314,R251,R144,00-03-02,96 ST,6,IRT,06/27/2020,21:00:00,REGULAR,645965320,268540
168315,R251,R144,00-03-02,96 ST,6,IRT,06/28/2020,01:00:00,REGULAR,645965398,268560
48654,N039,R251,01-00-00,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,2894553,1012649
48655,N039,R251,01-00-00,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,2894556,1012660
48656,N039,R251,01-00-00,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,2894576,1012667
48657,N039,R251,01-00-00,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,2894627,1012685
48658,N039,R251,01-00-00,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,2894671,1012697
48659,N039,R251,01-00-00,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,2894696,1012709
48696,N039,R251,01-00-01,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,308993,151468
48697,N039,R251,01-00-01,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,309008,151479
48698,N039,R251,01-00-01,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,309030,151495
48699,N039,R251,01-00-01,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,309063,151517
48700,N039,R251,01-00-01,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,309111,151532
48701,N039,R251,01-00-01,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,309145,151541
48738,N039,R251,01-00-02,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,6269861,5953861
48739,N039,R251,01-00-02,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,6269865,5953906
48740,N039,R251,01-00-02,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,6269881,5953959
48741,N039,R251,01-00-02,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,6269917,5954035
48742,N039,R251,01-00-02,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,6269950,5954072
48743,N039,R251,01-00-02,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,6269967,5954089
48780,N039,R251,01-06-00,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,606663,218516
48781,N039,R251,01-06-00,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,606663,218517
48782,N039,R251,01-06-00,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,606663,218517
48783,N039,R251,01-06-00,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,606663,218517
48784,N039,R251,01-06-00,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,606663,218517
48785,N039,R251,01-06-00,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,606664,218517
48822,N039,R251,01-06-01,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,982530,637280
48823,N039,R251,01-06-01,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,982530,637281
48824,N039,R251,01-06-01,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,982531,637286
48825,N039,R251,01-06-01,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,982533,637291
48826,N039,R251,01-06-01,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,982540,637293
48827,N039,R251,01-06-01,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,982543,637300
48864,N040,R251,00-00-00,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,728068,1907249
48865,N040,R251,00-00-00,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,728071,1907273
48866,N040,R251,00-00-00,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,728076,1907346
48867,N040,R251,00-00-00,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,728086,1907414
48868,N040,R251,00-00-00,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,728104,1907478
48869,N040,R251,00-00-00,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,728117,1907496
48906,N040,R251,00-00-01,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,8282465,10734455
48907,N040,R251,00-00-01,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,8282466,10734474
48908,N040,R251,00-00-01,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,8282475,10734542
48909,N040,R251,00-00-01,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,8282496,10734618
