,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
145101,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,4085184,21319119
145102,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,4085312,21319488
145103,R169,R168,01-03-00,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,4085414,21319947
145140,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,1618528,4005446
145141,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,1618528,4005450
145142,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,1618555,4005657
145143,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,1618649,4005839
145144,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,1618833,4006129
145145,R169,R168,01-03-01,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,1618988,4006449
145182,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,9464697,9074003
145183,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,9464697,9074005
145184,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,9464731,9074147
145185,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,9464845,9074292
145186,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,9465106,9074475
145187,R169,R168,01-03-02,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,9465284,9074687
145224,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,10887594,4347729
145225,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,10887594,4347732
145226,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,10887632,4347877
145227,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,10887786,4347997
145228,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,10888079,4348144
145229,R169,R168,01-03-03,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,10888310,4348262
145266,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,2393360,600179
145267,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,2393360,600182
145268,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,2393406,600347
145269,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,2393602,600464
145270,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,2393844,600592
145271,R169,R168,01-03-04,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,2394045,600703
145308,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,22843313,14789819
145309,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,22843313,14789823
145310,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,22843363,14789977
145311,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,22843529,14790102
145312,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,22843722,14790204
145313,R169,R168,01-03-05,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,22843915,14790279
145350,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,4200,0
145351,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,4200,0
145352,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,4200,0
145353,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,4200,0
145354,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,4200,0
145355,R169,R168,01-05-00,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,4200,0
145392,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,0,1647
145393,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,0,1647
145394,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,0,1647
145395,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,0,1647
145396,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,0,1647
145397,R169,R168,01-05-01,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,0,1647
145432,R169,R168,01-07-00,96 ST,123,IRT,08/05/2020,01:00:00,RECOVR AUD,67110885,16777216
145433,R169,R168,01-07-00,96 ST,123,IRT,08/05/2020,09:00:00,RECOVR AUD,67110891,16777216
145434,R169,R168,01-07-00,96 ST,123,IRT,08/05/2020,13:00:00,RECOVR AUD,67110891,16777216
145435,R169,R168,01-07-00,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,67110891,16777216
145436,R169,R168,01-07-00,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,67110893,16777216
145463,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,01:00:00,REGULAR,131072,66554
145464,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,05:00:00,REGULAR,131072,66554
145465,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,09:00:00,REGULAR,131072,66554
145466,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,13:00:00,REGULAR,131072,66554
145467,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,17:00:00,REGULAR,131072,66554
145468,R169,R168,01-07-01,96 ST,123,IRT,08/05/2020,21:00:00,REGULAR,131072,66554
