,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
48813,N039,R251,01-06-00,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,606699,218591
48814,N039,R251,01-06-00,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,606699,218593
48815,N039,R251,01-06-00,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,606700,218593
48816,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,606701,218594
48817,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,606701,218595
48818,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,606701,218596
48819,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,606703,218599
48820,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,606707,218599
48821,N039,R251,01-06-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,606712,218602
48822,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,606712,218602
48823,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,606712,218604
48824,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,606712,218609
48825,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,606712,218610
48826,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,16:00:00,REGULAR,606714,218613
48827,N039,R251,01-06-00,96 ST,BC,IND,06/30/2020,20:00:00,REGULAR,606717,218616
48828,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,00:00:00,REGULAR,606717,218617
48829,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,04:00:00,REGULAR,606718,218619
48830,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,08:00:00,REGULAR,606718,218620
48831,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,12:00:00,REGULAR,606719,218620
48832,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,16:00:00,REGULAR,606719,218620
48833,N039,R251,01-06-00,96 ST,BC,IND,07/01/2020,20:00:00,REGULAR,606722,218626
48834,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,00:00:00,REGULAR,606722,218627
48835,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,04:00:00,REGULAR,606722,218629
48836,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,08:00:00,REGULAR,606722,218633
48837,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,12:00:00,REGULAR,606725,218634
48838,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,16:00:00,REGULAR,606725,218634
48839,N039,R251,01-06-00,96 ST,BC,IND,07/02/2020,20:00:00,REGULAR,606727,218635
48840,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,00:00:00,REGULAR,606727,218635
48841,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,04:00:00,REGULAR,606727,218640
48842,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,08:00:00,REGULAR,606727,218641
48843,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,12:00:00,REGULAR,606727,218642
48844,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,16:00:00,REGULAR,606728,218645
48845,N039,R251,01-06-00,96 ST,BC,IND,07/03/2020,20:00:00,REGULAR,606731,218646
48846,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,982921,637464
48847,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,982921,637466
48848,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,982922,637466
48849,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,982924,637470
48850,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,982926,637472
48851,N039,R251,01-06-01,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,982933,637476
48852,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,982937,637480
48853,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,04:00:00,REGULAR,982937,637485
48854,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,08:00:00,REGULAR,982937,637485
48855,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,982940,637487
48856,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,982943,637495
48857,N039,R251,01-06-01,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,982947,637499
48858,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,982950,637500
48859,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,982950,637503
48860,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,982951,637508
48861,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,982953,637520
48862,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,982973,637524
48863,N039,R251,01-06-01,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,983025,637532
48864,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,983028,637534
48865,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,983028,637537
48866,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,983031,637540
48867,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,983035,637548
48868,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,16:00:00,REGULAR,983061,637552
48869,N039,R251,01-06-01,96 ST,BC,IND,06/30/2020,20:00:00,REGULAR,983119,637559
48870,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,00:00:00,REGULAR,983124,637561
48871,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,04:00:00,REGULAR,983125,637566
48872,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,08:00:00,REGULAR,983130,637569
48873,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,12:00:00,REGULAR,983131,637575
48874,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,16:00:00,REGULAR,983152,637583
48875,N039,R251,01-06-01,96 ST,BC,IND,07/01/2020,20:00:00,REGULAR,983199,637587
48876,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,00:00:00,REGULAR,983205,637587
48877,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,04:00:00,REGULAR,983205,637589
48878,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,08:00:00,REGULAR,983207,637593
48879,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,12:00:00,REGULAR,983213,637606
48880,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,16:00:00,REGULAR,983239,637613
48881,N039,R251,01-06-01,96 ST,BC,IND,07/02/2020,20:00:00,REGULAR,983272,637620
48882,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,00:00:00,REGULAR,983275,637626
48883,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,04:00:00,REGULAR,983275,637628
48884,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,08:00:00,REGULAR,983278,637632
48885,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,12:00:00,REGULAR,983279,637642
48886,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,16:00:00,REGULAR,983284,637645
48887,N039,R251,01-06-01,96 ST,BC,IND,07/03/2020,20:00:00,REGULAR,983291,637646
48888,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,728481,1909553
48889,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,728481,1909558
48890,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,08:00:00,REGULAR,728482,1909577
48891,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,12:00:00,REGULAR,728485,1909641
48892,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,16:00:00,REGULAR,728499,1909704
48893,N040,R251,00-00-00,96 ST,BC,IND,06/27/2020,20:00:00,REGULAR,728509,1909748
48894,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,00:00:00,REGULAR,728515,1909774
48895,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,04:00:00,REGULAR,728518,1909777
48896,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,08:00:00,REGULAR,728521,1909783
48897,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,12:00:00,REGULAR,728525,1909802
48898,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,16:00:00,REGULAR,728532,1909874
48899,N040,R251,00-00-00,96 ST,BC,IND,06/28/2020,20:00:00,REGULAR,728542,1909918
48900,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,00:00:00,REGULAR,728547,1909929
48901,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,04:00:00,REGULAR,728547,1909931
48902,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,08:00:00,REGULAR,728552,1909994
48903,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,12:00:00,REGULAR,728559,1910134
48904,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,16:00:00,REGULAR,728581,1910240
48905,N040,R251,00-00-00,96 ST,BC,IND,06/29/2020,20:00:00,REGULAR,728616,1910326
48906,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,00:00:00,REGULAR,728626,1910342
48907,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,04:00:00,REGULAR,728626,1910344
48908,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,08:00:00,REGULAR,728631,1910406
48909,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,12:00:00,REGULAR,728639,1910525
48910,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,16:00:00,REGULAR,728659,1910614
48911,N040,R251,00-00-00,96 ST,BC,IND,06/30/2020,20:00:00,REGULAR,728691,1910686
48912,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,00:00:00,REGULAR,728699,1910704
48913,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,04:00:00,REGULAR,728699,1910706
48914,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,08:00:00,REGULAR,728703,1910773
48915,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,12:00:00,REGULAR,728713,1910900
48916,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,16:00:00,REGULAR,728737,1910995
48917,N040,R251,00-00-00,96 ST,BC,IND,07/01/2020,20:00:00,REGULAR,728770,1911067
48918,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,00:00:00,REGULAR,728778,1911077
48919,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,04:00:00,REGULAR,728779,1911080
48920,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,08:00:00,REGULAR,728785,1911141
48921,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,12:00:00,REGULAR,728791,1911278
48922,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,16:00:00,REGULAR,728808,1911377
48923,N040,R251,00-00-00,96 ST,BC,IND,07/02/2020,20:00:00,REGULAR,728851,1911459
48924,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,00:00:00,REGULAR,728860,1911487
48925,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,04:00:00,REGULAR,728860,1911491
48926,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,08:00:00,REGULAR,728861,1911516
48927,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,12:00:00,REGULAR,728867,1911609
48928,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,16:00:00,REGULAR,728880,1911714
48929,N040,R251,00-00-00,96 ST,BC,IND,07/03/2020,20:00:00,REGULAR,728904,1911795
48930,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,00:00:00,REGULAR,8283353,10736977
48931,N040,R251,00-00-01,96 ST,BC,IND,06/27/2020,04:00:00,REGULAR,8283355,10736988
