,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
166194,R251,R144,00-00-00,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,23870236,15668497
166231,R251,R144,00-00-01,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,24541754,9060888
166232,R251,R144,00-00-01,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,24541812,9061065
166233,R251,R144,00-00-01,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,24541881,9061167
166234,R251,R144,00-00-01,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,24542044,9061238
166235,R251,R144,00-00-01,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,24542129,9061290
166236,R251,R144,00-00-01,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,24542159,9061312
166273,R251,R144,00-00-02,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,17854330,4552926
166274,R251,R144,00-00-02,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,17854356,4553042
166275,R251,R144,00-00-02,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,17854399,4553110
166276,R251,R144,00-00-02,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,17854517,4553147
166277,R251,R144,00-00-02,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,17854581,4553176
166278,R251,R144,00-00-02,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,17854601,4553190
166315,R251,R144,00-03-00,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,19533270,3672191
166316,R251,R144,00-03-00,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,19533302,3672291
166317,R251,R144,00-03-00,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,19533341,3672348
166318,R251,R144,00-03-00,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,19533518,3672395
166319,R251,R144,00-03-00,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,19533647,3672425
166320,R251,R144,00-03-00,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,19533675,3672435
166357,R251,R144,00-03-01,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,3953552,589240
166358,R251,R144,00-03-01,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,3953612,589325
166359,R251,R144,00-03-01,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,3953677,589365
166360,R251,R144,00-03-01,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,3953924,589403
166361,R251,R144,00-03-01,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,3954102,589435
166362,R251,R144,00-03-01,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,3954136,589447
166399,R251,R144,00-03-02,96 ST,6,IRT,06/22/2020,05:00:00,REGULAR,645957358,266140
166400,R251,R144,00-03-02,96 ST,6,IRT,06/22/2020,09:00:00,REGULAR,645957498,266311
166401,R251,R144,00-03-02,96 ST,6,IRT,06/22/2020,13:00:00,REGULAR,645957661,266373
166402,R251,R144,00-03-02,96 ST,6,IRT,06/22/2020,17:00:00,REGULAR,645958220,266454
166403,R251,R144,00-03-02,96 ST,6,IRT,06/22/2020,21:00:00,REGULAR,645958642,266499
166404,R251,R144,00-03-02,96 ST,6,IRT,06/23/2020,01:00:00,REGULAR,645958759,266526
48650,N039,R251,01-00-00,96 ST,BC,IND,06/15/2020,04:00:00,RECOVR AUD,2893033,1012144
48651,N039,R251,01-00-00,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,2893049,1012162
48652,N039,R251,01-00-00,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,2893104,1012179
48653,N039,R251,01-00-00,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,2893188,1012193
48654,N039,R251,01-00-00,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,2893318,1012225
48655,N039,R251,01-00-00,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,2893350,1012239
48692,N039,R251,01-00-01,96 ST,BC,IND,06/15/2020,04:00:00,RECOVR AUD,307137,150864
48693,N039,R251,01-00-01,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,307171,150886
48694,N039,R251,01-00-01,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,307229,150918
48695,N039,R251,01-00-01,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,307348,150940
48696,N039,R251,01-00-01,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,307547,150971
48697,N039,R251,01-00-01,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,307602,150980
48734,N039,R251,01-00-02,96 ST,BC,IND,06/15/2020,04:00:00,RECOVR AUD,6268686,5951836
48735,N039,R251,01-00-02,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,6268689,5951914
48736,N039,R251,01-00-02,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,6268712,5952053
48737,N039,R251,01-00-02,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,6268754,5952145
48738,N039,R251,01-00-02,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,6268831,5952216
48739,N039,R251,01-00-02,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,6268843,5952249
48776,N039,R251,01-06-00,96 ST,BC,IND,06/15/2020,04:00:00,RECOVR AUD,606631,218464
48777,N039,R251,01-06-00,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,606632,218466
48778,N039,R251,01-06-00,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,606634,218467
48779,N039,R251,01-06-00,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,606635,218468
48780,N039,R251,01-06-00,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,606635,218471
48781,N039,R251,01-06-00,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,606635,218472
48818,N039,R251,01-06-01,96 ST,BC,IND,06/15/2020,04:00:00,RECOVR AUD,982181,637158
48819,N039,R251,01-06-01,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,982183,637161
48820,N039,R251,01-06-01,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,982184,637167
48821,N039,R251,01-06-01,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,982203,637171
48822,N039,R251,01-06-01,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,982253,637176
48823,N039,R251,01-06-01,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,982259,637177
48860,N040,R251,00-00-00,96 ST,BC,IND,06/15/2020,04:00:00,REGULAR,727732,1905459
48861,N040,R251,00-00-00,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,727735,1905522
48862,N040,R251,00-00-00,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,727739,1905638
48863,N040,R251,00-00-00,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,727753,1905715
48864,N040,R251,00-00-00,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,727773,1905795
48865,N040,R251,00-00-00,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,727781,1905810
48902,N040,R251,00-00-01,96 ST,BC,IND,06/15/2020,04:00:00,REGULAR,8281851,10732613
48903,N040,R251,00-00-01,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,8281861,10732678
48904,N040,R251,00-00-01,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,8281871,10732782
48905,N040,R251,00-00-01,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,8281897,10732856
48906,N040,R251,00-00-01,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,8281955,10732910
48907,N040,R251,00-00-01,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,8281962,10732931
48944,N040,R251,00-00-02,96 ST,BC,IND,06/15/2020,04:00:00,REGULAR,11909526,7495561
48945,N040,R251,00-00-02,96 ST,BC,IND,06/15/2020,08:00:00,REGULAR,11909558,7495662
48946,N040,R251,00-00-02,96 ST,BC,IND,06/15/2020,12:00:00,REGULAR,11909621,7495803
48947,N040,R251,00-00-02,96 ST,BC,IND,06/15/2020,16:00:00,REGULAR,11909751,7495872
48948,N040,R251,00-00-02,96 ST,BC,IND,06/15/2020,20:00:00,REGULAR,11909931,7495930
48949,N040,R251,00-00-02,96 ST,BC,IND,06/16/2020,00:00:00,REGULAR,11909975,7495954
144369,R168A,R168,00-00-00,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,2012852,2087026
144370,R168A,R168,00-00-00,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,2012892,2087149
144371,R168A,R168,00-00-00,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,2012928,2087257
144372,R168A,R168,00-00-00,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,2013013,2087360
144373,R168A,R168,00-00-00,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,2013054,2087449
144374,R168A,R168,00-00-00,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,2013075,2087482
144411,R168A,R168,00-00-01,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,6369635,2652058
144412,R168A,R168,00-00-01,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,6369690,2652130
144413,R168A,R168,00-00-01,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,6369735,2652190
144414,R168A,R168,00-00-01,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,6369835,2652283
144415,R168A,R168,00-00-01,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,6369905,2652337
